epoch,loss
1,2.79779
2,2.5211024
3,2.4100585
4,2.3293931
5,2.2638793
6,2.206512
7,2.1543088
8,2.1024666
9,2.055211
10,2.012404
11,1.969153
12,1.9331961
13,1.8978312
14,1.8659437
15,1.8317509
16,1.8027915
17,1.7753218
18,1.7477291
19,1.724972
20,1.703533
21,1.6812129
22,1.6579989
23,1.6384888
24,1.624268
25,1.6053522
26,1.5891746
27,1.5714402
28,1.555275
29,1.5448374
30,1.5274405
31,1.5162524
32,1.5046155
33,1.4913712
34,1.4824246
35,1.4675865
36,1.4563984
37,1.4499481
38,1.4360733
39,1.4282665
40,1.4184277
41,1.4103597
42,1.4017628
43,1.3941134
44,1.3816445
45,1.3773638
46,1.3703258
47,1.3624029
48,1.3539928
49,1.3479556
50,1.3426971
51,1.3347942
52,1.3246363
53,1.3228788
54,1.3124901
55,1.3070573
56,1.3025981
57,1.2966112
58,1.2922795
59,1.286723
60,1.2838976
61,1.278118
62,1.2709267
63,1.2678736
64,1.2628554
65,1.2592239
66,1.256793
67,1.2489642
68,1.2453369
69,1.2396142
70,1.2349876
71,1.2313399
72,1.2279944
73,1.2231141
74,1.2201366
75,1.2180593
76,1.2136401
77,1.2103239
78,1.2069793
79,1.2043167
80,1.197179
81,1.1960821
82,1.1924798
83,1.1884667
84,1.187674
85,1.1818496
86,1.1798124
87,1.180506
88,1.1757858
89,1.1733965
90,1.1707168
91,1.1640255
92,1.1638722
93,1.1591522
94,1.1604469
95,1.1567384
96,1.1561288
97,1.1513216
98,1.1446779
99,1.1452836
100,1.1389434
