epoch,loss
1,2.7905843
2,2.5174234
3,2.4075572
4,2.3318443
5,2.2671196
6,2.208481
7,2.1552784
8,2.1064928
9,2.0635307
10,2.017253
11,1.9763324
12,1.938599
13,1.904166
14,1.8679538
15,1.8377557
16,1.8076084
17,1.7791728
18,1.7551427
19,1.7325552
20,1.7072929
21,1.6860962
22,1.6620833
23,1.6432867
24,1.6251961
25,1.6066777
26,1.5933112
27,1.5783012
28,1.5616083
29,1.549495
30,1.5329407
31,1.5166972
32,1.5034277
33,1.4941893
34,1.4806833
35,1.4710759
36,1.458254
37,1.450179
38,1.4369637
39,1.4313269
40,1.4218218
41,1.4132077
42,1.4032602
43,1.3931819
44,1.3883352
45,1.3781487
46,1.3732629
47,1.3633965
48,1.3563106
49,1.348999
50,1.342092
51,1.3333012
52,1.3313781
53,1.3256843
54,1.3174617
55,1.3102325
56,1.3081326
57,1.2983016
58,1.2972833
59,1.2889941
60,1.2830623
61,1.2794775
62,1.2755373
63,1.2688718
64,1.2635225
65,1.2606553
66,1.2562704
67,1.2494837
68,1.2465029
69,1.2411199
70,1.2374674
71,1.2359827
72,1.2282299
73,1.2268244
74,1.2225324
75,1.2203909
76,1.2165295
77,1.2082564
78,1.2090266
79,1.2053683
80,1.1970327
81,1.1954281
82,1.1954105
83,1.1933846
84,1.188873
85,1.1807761
86,1.1815366
87,1.1773255
88,1.175987
89,1.1721054
90,1.1692123
91,1.1678925
92,1.1632196
93,1.1620952
94,1.1571996
95,1.1555175
96,1.1537058
97,1.1525565
98,1.14918
99,1.1445245
100,1.1462804
