epochs,mf_loss,reg_loss,loss,recall,precision,train_time,eval_time
133,0.00743,0.01462,0.02205,0.3559,0.145,33.9,0.4067060947418213
134,0.00716,0.01464,0.02179,0.3563,0.1441,33.69,0.3439760208129883
135,0.00708,0.01463,0.02171,0.3572,0.1453,33.99,0.3473629951477051
136,0.00711,0.01465,0.02176,0.3559,0.1449,34.18,0.3558487892150879
137,0.00737,0.01465,0.02201,0.3591,0.1461,34.16,0.3456690311431885
138,0.00735,0.01464,0.02198,0.3552,0.1445,34.19,0.717932939529419
139,0.00732,0.01465,0.02198,0.3582,0.1454,34.03,0.367246150970459
140,0.00733,0.01468,0.02201,0.3572,0.1445,33.88,0.3454129695892334
141,0.00682,0.01468,0.0215,0.3572,0.1451,33.86,0.3439161777496338
142,0.00702,0.01465,0.02168,0.3568,0.1443,33.7,0.3534097671508789
143,0.00688,0.01466,0.02154,0.3584,0.1449,34.06,0.3439347743988037
144,0.00729,0.01463,0.02192,0.3555,0.1433,34.12,0.3388490676879883
145,0.00701,0.01461,0.02162,0.3552,0.1443,34.13,0.3433370590209961
146,0.00712,0.01463,0.02175,0.3572,0.1447,33.86,0.34323835372924805
147,0.00723,0.01462,0.02185,0.3612,0.1461,34.07,0.3598611354827881
148,0.00696,0.01461,0.02157,0.3559,0.1445,33.87,0.34691405296325684
149,0.00691,0.0146,0.02151,0.3547,0.1436,34.35,0.680056095123291
150,0.00702,0.0146,0.02162,0.3583,0.1447,33.88,0.3739199638366699
151,0.00726,0.01459,0.02186,0.3578,0.1446,33.74,0.35703110694885254
152,0.0072,0.01457,0.02177,0.361,0.1455,33.77,0.3463871479034424
153,0.00707,0.01458,0.02164,0.3597,0.1447,34.29,0.3561248779296875
154,0.00733,0.01457,0.0219,0.3601,0.145,33.82,0.33320116996765137
155,0.0069,0.01459,0.02149,0.3601,0.1454,34.37,0.34418821334838867
156,0.00713,0.01458,0.02171,0.3619,0.1461,34.06,0.34333229064941406
157,0.00719,0.01457,0.02176,0.3583,0.1444,34.11,0.3430919647216797
158,0.00733,0.01459,0.02193,0.3611,0.1458,34.08,0.35149478912353516
159,0.00696,0.01463,0.02158,0.3599,0.1447,34.13,0.6582632064819336
160,0.00662,0.01458,0.0212,0.3573,0.1439,33.76,0.35209202766418457
161,0.00725,0.01459,0.02184,0.359,0.1448,34.23,0.38049912452697754
162,0.00718,0.01459,0.02177,0.3545,0.1432,33.92,0.3553588390350342
163,0.00701,0.01459,0.0216,0.3549,0.1439,34.06,0.3476278781890869
164,0.00663,0.01455,0.02119,0.355,0.1435,33.71,0.35280895233154297
165,0.00661,0.01453,0.02114,0.3569,0.1442,34.05,0.34924793243408203
166,0.00673,0.01453,0.02127,0.3562,0.1447,33.94,0.3416740894317627
167,0.00706,0.01451,0.02157,0.3576,0.1456,34.12,0.3430788516998291
168,0.00745,0.0145,0.02196,0.3573,0.145,34.08,0.33217930793762207
169,0.00746,0.01456,0.02203,0.3563,0.1446,34.07,0.6792020797729492
170,0.00681,0.01458,0.02139,0.3557,0.1444,33.93,0.39164018630981445
171,0.00691,0.01456,0.02148,0.3581,0.1451,34.36,0.3855600357055664
172,0.00698,0.01455,0.02153,0.3583,0.1454,34.43,0.38668012619018555
173,0.0072,0.01456,0.02176,0.3573,0.1448,34.14,0.3568458557128906
174,0.00689,0.01454,0.02143,0.3593,0.1454,33.98,0.342365026473999
175,0.0071,0.01455,0.02165,0.3592,0.1455,33.81,0.41532301902770996
176,0.00658,0.01458,0.02116,0.3592,0.145,33.85,0.3965132236480713
177,0.00673,0.01453,0.02126,0.3575,0.1449,34.15,0.3525052070617676
