epoch,target,loss,token_accuracy,sequence_accuracy
1,brand_name,1.1427516297952116,0.7860565000006833,0.6822836906584993
1,gender,0.07448751527277124,0.9836079823802435,0.9752285126339969
1,age_group,0.07252294649327228,0.987785027943924,0.9790390505359877
1,base_color,0.4794817203734281,0.8887988910428254,0.7946796037519143
1,season,0.06895880655400796,0.9810114114300525,0.9693003445635529
1,year,0.11099992346192908,0.9723191686519663,0.9423932810107197
1,usage,0.09128368304910282,0.9820785689134971,0.9710949464012251
1,master_category,0.0765591142454882,0.9827412001712649,0.974103895482389
1,sub_category,0.29710424498043053,0.9375641664506864,0.9123695922664625
1,article_type,0.5551084172227356,0.8930279973811748,0.8547209992343032
1,fit,0.0690563067740452,0.9867047614050671,0.9704907637825421
1,occasion,0.12913687757541215,0.9713233543815939,0.9368838533690659
2,brand_name,0.14376184066178513,0.9724826665826722,0.9490751818529862
2,gender,0.0038033456288198413,0.9990175290206005,0.9974755934150077
2,age_group,0.004660655045837298,0.998940110111021,0.9972482771822359
2,base_color,0.09096601345557805,0.9810914200122449,0.9594419984686064
2,season,0.010143484488374481,0.9972421829338315,0.9939462098009189
2,year,0.0123368587170975,0.9969235375721394,0.9919003637059725
2,usage,0.02433882306223296,0.9955511303651435,0.9912423430321593
2,master_category,0.0074258868864537425,0.9984810765903315,0.9970568529862175
2,sub_category,0.0172889869123345,0.9959370995553716,0.9913260911179173
2,article_type,0.0418916129887569,0.9905988384012518,0.9810430225880551
2,fit,0.010197343727951077,0.997826337819492,0.9943769142419602
2,occasion,0.02378915573712663,0.993994109888874,0.9862892419601837
3,brand_name,0.00610706924851613,0.9999298511592835,0.9997008996937213
3,gender,0.00019295833665081748,1.0,1.0
3,age_group,0.0002507824922342582,0.9999933734131551,0.9999700899693721
3,base_color,0.0023626119159925072,0.9999760057615178,0.9998923238897397
3,season,0.00028845554412107997,0.9999920321945456,0.9999700899693721
3,year,0.0005078554413014678,0.9999908071881406,0.9999641079632465
3,usage,0.0009837748578558484,0.9999203338519205,0.9996889356814701
3,master_category,0.0002747855244721764,0.9999973709904181,0.9999880359877489
3,sub_category,0.001538578057770402,0.9999151480962817,0.9997008996937213
3,article_type,0.0038735395595844934,0.9997338299018289,0.9989292209035222
3,fit,0.0005196052293710704,0.9999653878912569,0.9998444678407351
3,occasion,0.0009142296572326743,0.9999431376339749,0.9997487557427259
