epoch,target,loss,token_accuracy,sequence_accuracy
1,color,0.2529765766949987,0.9705896479366418,0.7540221835251363
1,style,0.20907509333429977,0.9765975099170923,0.7617907437051138
1,fit,0.1342386799184574,0.9886376034714826,0.7800521329064637
1,material,0.24520545750144027,0.9670247328600056,0.7466139298693433
1,season,0.1141033164184662,0.9913121478346907,0.7851140001730553
1,sleeve,0.12896749393174298,0.9891075940834089,0.7805266829627067
1,category,0.3255205020084307,0.9540568604582128,0.7348995738513455
2,color,0.006442042808043189,0.9999877206886572,0.8025229568659688
2,style,0.005329523818552729,0.9999951704758545,0.8025405327939777
2,fit,0.0036282656956317387,0.9999975386008915,0.8025493207579822
2,material,0.0058070279812886556,0.9999927198017967,0.8025317448299732
2,season,0.0033215853535958867,0.9999951704758545,0.8025405327939777
2,sleeve,0.0035709065833800504,0.9999951704758545,0.8025405327939777
2,category,0.0075455068566609084,0.9999878356969372,0.8025229568659688
3,color,0.002127099049820264,0.9999928073891605,0.8025006489573419
3,style,0.0017526708670977725,1.0,0.8025270128493553
3,fit,0.0011961202698820496,1.0,0.8025270128493553
3,material,0.0019114485023076005,0.9999976117634978,0.8025182248853509
3,season,0.00109756973167961,1.0,0.8025270128493553
3,sleeve,0.0011734510385625156,1.0,0.8025270128493553
3,category,0.0024851043927310405,0.9999976117634978,0.8025182248853509
4,color,0.000986897961157442,1.0,0.8025290408410488
4,style,0.0008154263270034636,1.0,0.8025290408410488
4,fit,0.000557164133134056,1.0,0.8025290408410488
4,material,0.000886945740968781,1.0,0.8025290408410488
4,season,0.0005112689633576642,1.0,0.8025290408410488
4,sleeve,0.0005500113183770777,1.0,0.8025290408410488
4,category,0.001159075255656596,1.0,0.8025290408410488
5,color,0.0005235668150061182,1.0,0.802524984857662
5,style,0.00043391702443683946,1.0,0.802524984857662
5,fit,0.0002977385546952377,1.0,0.802524984857662
5,material,0.00047268135402680567,1.0,0.802524984857662
5,season,0.0002726644027751113,1.0,0.802524984857662
5,sleeve,0.00029160847505805984,1.0,0.802524984857662
5,category,0.000617534251536868,1.0,0.802524984857662
6,color,0.0003211824533425343,1.0,0.8025270128493553
6,style,0.0002685672923984348,0.9999974835360346,0.8025270128493553
6,fit,0.00018217397735516213,1.0,0.8025270128493553
6,material,0.00029054445658034683,1.0,0.8025270128493553
6,season,0.00017407432258303545,0.9999974835360346,0.8025270128493553
6,sleeve,0.00017829688316303033,1.0,0.8025270128493553
6,category,0.0003775175292647514,1.0,0.8025270128493553
7,color,0.00018146834635935017,1.0,0.8025168728908887
7,style,0.00015043105061689267,1.0,0.8025168728908887
7,fit,0.00010279291281916612,1.0,0.8025168728908887
7,material,0.0001641561388797221,1.0,0.8025168728908887
7,season,9.419448142948521e-05,1.0,0.8025168728908887
7,sleeve,0.00010066907733231752,1.0,0.8025168728908887
7,category,0.00021807352227671647,1.0,0.8025168728908887
8,color,0.00010769423715623842,1.0,0.802537152807822
8,style,8.915408650514381e-05,1.0,0.802537152807822
8,fit,6.136298375234324e-05,1.0,0.802537152807822
8,material,9.728725711665513e-05,1.0,0.802537152807822
8,season,5.641275959065696e-05,1.0,0.802537152807822
8,sleeve,5.9774466976536494e-05,1.0,0.802537152807822
8,category,0.00012657594437466324,1.0,0.802537152807822
9,color,6.697392003254282e-05,1.0,0.8025168728908887
9,style,5.532286286836488e-05,1.0,0.8025168728908887
9,fit,3.902275097966027e-05,1.0,0.8025168728908887
9,material,6.0583002949876006e-05,1.0,0.8025168728908887
9,season,3.455349757128261e-05,1.0,0.8025168728908887
9,sleeve,3.747492521983654e-05,1.0,0.8025168728908887
9,category,7.921479294487486e-05,1.0,0.8025168728908887
10,color,0.002454482749195118,0.99950543401587,0.801159470450809
10,style,0.001782732032811136,0.9996832073895171,0.8015725047590205
10,fit,0.016061229721738592,0.9979112689230791,0.7985142932854548
10,material,0.0019460026676546512,0.9996542457221023,0.8014406852989531
10,season,0.0012997149898685443,0.9996408161642276,0.8014758371549711
10,sleeve,0.0010534805001764676,0.9998038880962223,0.801915235355196
10,category,0.002610457461642808,0.9996052357487204,0.8014143214069396
